"season","team","abbreviation","playoffs","w","l","mov","o_rtg","d_rtg","n_rtg","pace","f_tr","ts_percent","e_fg_percent","tov_percent","orb_percent","ft_fga","opp_e_fg_percent","opp_tov_percent","opp_drb_percent","opp_ft_fga","championship","conference"
"2011                                              ",Washington Wizards                                ,WAS       ,FALSE,23.00000,59.00000,-7.40000,102.40000,110.20000,-7.80000,93.80000,0.29000,0.51300,0.47100,13.90000,28.00000,0.21600,0.51200,14.40000,70.50000,0.24900,FALSE,EAST
"2010                                              ",Atlanta Hawks                                     ,ATL       ,TRUE,53.00000,29.00000,4.66000,111.90000,106.70000,5.20000,90.10000,0.28100,0.54500,0.50600,11.40000,28.20000,0.21300,0.49600,13.20000,72.70000,0.20800,FALSE,EAST
"2010                                              ",New York Knicks                                   ,NYK       ,FALSE,29.00000,53.00000,-3.82000,107.60000,111.60000,-4.00000,94.00000,0.25600,0.54700,0.50900,13.00000,23.50000,0.20000,0.52600,13.30000,72.10000,0.20700,FALSE,EAST
"2009                                              ",Los Angeles Clippers                              ,LAC       ,FALSE,19.00000,63.00000,-8.77000,102.30000,111.70000,-9.40000,92.10000,0.27500,0.52000,0.48100,14.00000,25.10000,0.20200,0.51200,12.40000,71.20000,0.22700,FALSE,WEST
"2009                                              ",Los Angeles Lakers                                ,LAL       ,TRUE,65.00000,17.00000,7.66000,112.80000,104.70000,8.10000,94.30000,0.29900,0.55500,0.51300,12.30000,29.40000,0.23000,0.49000,14.20000,73.00000,0.21300,TRUE,WEST
"2009                                              ",Memphis Grizzlies                                 ,MEM       ,FALSE,24.00000,58.00000,-5.46000,103.50000,109.50000,-6.00000,90.10000,0.32900,0.53300,0.48600,14.80000,25.80000,0.24900,0.51500,14.10000,73.50000,0.24700,FALSE,WEST
"2009                                              ",Miami Heat                                        ,MIA       ,TRUE,43.00000,39.00000,0.26000,107.80000,107.60000,0.20000,89.90000,0.28200,0.54000,0.50000,12.10000,24.60000,0.21200,0.50100,14.50000,72.90000,0.25100,FALSE,EAST
"2008                                              ",Chicago Bulls                                     ,CHI       ,FALSE,33.00000,49.00000,-3.09000,103.90000,107.20000,-3.30000,93.00000,0.29600,0.51500,0.47000,13.40000,28.90000,0.22300,0.49600,14.20000,73.10000,0.25800,FALSE,EAST
"2008                                              ",Cleveland Cavaliers                               ,CLE       ,TRUE,45.00000,37.00000,-0.35000,106.00000,106.40000,-0.40000,90.20000,0.30800,0.52000,0.48000,13.10000,30.40000,0.22100,0.49400,12.90000,75.90000,0.24000,FALSE,EAST
"2020                                              ",Detroit Pistons                                   ,DET       ,FALSE,20.00000,46.00000,-3.56000,109.00000,112.70000,-3.70000,97.60000,0.26100,0.56100,0.52900,13.80000,22.60000,0.19400,0.54100,12.70000,75.90000,0.18600,FALSE,EAST
"2020                                              ",Golden State Warriors                             ,GSW       ,FALSE,15.00000,50.00000,-8.71000,105.20000,113.80000,-8.60000,100.30000,0.26400,0.54000,0.49700,13.20000,21.50000,0.21200,0.55300,13.70000,76.40000,0.19300,FALSE,WEST
"2020                                              ",Houston Rockets                                   ,HOU       ,TRUE,44.00000,28.00000,2.96000,112.90000,110.10000,2.80000,103.70000,0.28800,0.57800,0.53700,12.60000,21.00000,0.22800,0.52900,13.70000,75.60000,0.19700,FALSE,WEST
"2020                                              ",Indiana Pacers                                    ,IND       ,TRUE,45.00000,28.00000,1.96000,110.00000,108.00000,2.00000,98.90000,0.21600,0.56500,0.53400,12.00000,20.00000,0.17000,0.51100,13.00000,76.70000,0.19200,FALSE,EAST
"2020                                              ",Los Angeles Clippers                              ,LAC       ,TRUE,49.00000,23.00000,6.44000,113.90000,107.60000,6.30000,101.50000,0.29500,0.57700,0.53500,12.60000,23.50000,0.23300,0.50600,12.20000,77.60000,0.20600,FALSE,WEST
"2020                                              ",Los Angeles Lakers                                ,LAL       ,TRUE,52.00000,19.00000,5.79000,112.00000,106.30000,5.70000,100.90000,0.27600,0.57300,0.54200,13.30000,24.50000,0.20100,0.51500,14.10000,78.80000,0.20500,TRUE,WEST
"2020                                              ",Memphis Grizzlies                                 ,MEM       ,FALSE,34.00000,39.00000,-1.07000,109.20000,110.30000,-1.10000,102.80000,0.24000,0.56100,0.52800,13.20000,23.00000,0.18300,0.52100,12.70000,77.80000,0.21700,FALSE,WEST
"2008                                              ",Toronto Raptors                                   ,TOR       ,TRUE,41.00000,41.00000,2.90000,110.20000,107.00000,3.20000,90.20000,0.24700,0.55100,0.51100,11.40000,23.40000,0.20000,0.50500,13.50000,75.00000,0.20500,FALSE,EAST
"2008                                              ",Utah Jazz                                         ,UTA       ,TRUE,54.00000,28.00000,6.88000,113.80000,106.50000,7.30000,93.20000,0.34900,0.57300,0.52800,13.60000,29.50000,0.26500,0.50100,15.00000,74.10000,0.29400,FALSE,WEST
"2008                                              ",Washington Wizards                                ,WAS       ,TRUE,43.00000,39.00000,-0.33000,109.20000,109.60000,-0.40000,89.50000,0.29700,0.53500,0.48900,12.50000,28.90000,0.23300,0.51300,13.50000,72.80000,0.21700,FALSE,EAST
"2007                                              ",Atlanta Hawks                                     ,ATL       ,FALSE,30.00000,52.00000,-4.76000,103.00000,108.30000,-5.30000,90.00000,0.34600,0.52300,0.47100,15.10000,29.20000,0.26300,0.50300,14.50000,70.90000,0.26800,FALSE,EAST
"2020                                              ",Miami Heat                                        ,MIA       ,TRUE,44.00000,29.00000,2.95000,112.50000,109.50000,3.00000,98.30000,0.29900,0.58700,0.54700,13.50000,20.30000,0.23400,0.52300,12.60000,79.50000,0.21300,FALSE,EAST
"2020                                              ",Milwaukee Bucks                                   ,MIL       ,TRUE,56.00000,17.00000,10.08000,112.40000,102.90000,9.50000,105.10000,0.27100,0.58300,0.55200,12.90000,20.70000,0.20100,0.48900,12.00000,81.60000,0.17800,FALSE,EAST
"2020                                              ",Minnesota Timberwolves                            ,MIN       ,FALSE,19.00000,45.00000,-4.30000,108.10000,112.20000,-4.10000,103.40000,0.27700,0.55100,0.51400,13.00000,22.10000,0.20900,0.54100,13.20000,77.20000,0.21800,FALSE,WEST
"2020                                              ",New Orleans Pelicans                              ,NOP       ,FALSE,30.00000,42.00000,-1.29000,110.70000,111.90000,-1.20000,103.70000,0.25600,0.56800,0.53900,13.90000,24.20000,0.18600,0.53200,12.40000,77.80000,0.21200,FALSE,WEST
"2020                                              ",New York Knicks                                   ,NYK       ,FALSE,21.00000,45.00000,-6.45000,106.50000,113.00000,-6.50000,98.60000,0.26300,0.53100,0.50100,12.60000,25.80000,0.18200,0.54100,12.40000,78.30000,0.22400,FALSE,EAST
"2020                                              ",Oklahoma City Thunder                             ,OKC       ,TRUE,44.00000,28.00000,1.99000,110.80000,108.80000,2.00000,98.80000,0.29000,0.57300,0.53000,12.40000,19.30000,0.23100,0.51800,12.60000,76.80000,0.17300,FALSE,WEST
"2020                                              ",Orlando Magic                                     ,ORL       ,TRUE,33.00000,40.00000,-1.01000,108.50000,109.50000,-1.00000,98.60000,0.25600,0.54400,0.50600,11.50000,22.30000,0.19800,0.53500,13.20000,79.10000,0.17600,FALSE,EAST
"2020                                              ",Philadelphia 76ers                                ,PHI       ,TRUE,43.00000,30.00000,2.38000,111.30000,109.00000,2.30000,99.00000,0.25500,0.56600,0.53400,12.70000,23.90000,0.19300,0.52300,12.50000,80.30000,0.21400,FALSE,EAST
"2020                                              ",Phoenix Suns                                      ,PHO       ,FALSE,34.00000,39.00000,0.22000,111.70000,111.40000,0.30000,101.30000,0.27100,0.57600,0.53200,13.00000,22.20000,0.22600,0.53900,13.70000,78.80000,0.22100,FALSE,WEST
"2020                                              ",Portland Trail Blazers                            ,POR       ,TRUE,35.00000,39.00000,-1.15000,113.70000,114.80000,-1.10000,100.70000,0.24200,0.57000,0.53300,11.20000,22.40000,0.19400,0.53000,11.20000,75.30000,0.20800,FALSE,WEST
"2020                                              ",Sacramento Kings                                  ,SAC       ,FALSE,31.00000,41.00000,-2.04000,110.20000,112.20000,-2.00000,98.90000,0.23000,0.56600,0.53400,13.00000,21.90000,0.17700,0.54300,13.60000,78.40000,0.22500,FALSE,WEST
"2020                                              ",San Antonio Spurs                                 ,SAS       ,FALSE,32.00000,39.00000,-1.11000,112.40000,113.50000,-1.10000,100.50000,0.26200,0.57200,0.53100,11.20000,20.10000,0.21200,0.54200,11.70000,79.20000,0.19300,FALSE,WEST
"2020                                              ",Toronto Raptors                                   ,TOR       ,TRUE,53.00000,19.00000,6.24000,111.10000,105.00000,6.10000,100.90000,0.26400,0.57400,0.53600,13.10000,21.30000,0.21000,0.50200,14.60000,76.70000,0.20200,FALSE,EAST
"2020                                              ",Utah Jazz                                         ,UTA       ,TRUE,44.00000,28.00000,2.47000,112.30000,109.90000,2.40000,98.60000,0.26800,0.58500,0.54900,13.70000,21.60000,0.20800,0.51800,11.10000,78.90000,0.18500,FALSE,WEST
"2020                                              ",Washington Wizards                                ,WAS       ,FALSE,25.00000,47.00000,-4.67000,110.90000,115.50000,-4.60000,102.70000,0.27000,0.56200,0.52300,12.20000,22.20000,0.21300,0.55800,13.90000,75.30000,0.23100,FALSE,EAST
